LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
102370,mobile county,AL,city-midsize,2016-2017,1.18035125256307,2.31256129089774,49.8635998930195,3.61415708299902,40.7042881340822,2.32504234643844,56085,Diverse,0.421840302246306,Not integrated
102400,monroe county,AL,rural-distant,2016-2017,2.0005715918834,0.342955130037153,53.3866819091169,0.800228636753358,42.3549585595885,1.11460417262075,3499,Diverse,0.47394967737919,Not integrated
102520,muscle shoals city,AL,city-small,2016-2017,0.832466181061394,2.53208463406174,15.227193895248,6.10475199445023,72.2858133888311,3.01768990634755,2883,Diverse,0.0005458482551265,Highly integrated
102580,opelika city,AL,city-small,2016-2017,0.43230944254835,1.45620022753129,58.1342434584755,8.78270762229807,29.3970420932878,1.79749715585893,4395,Diverse,0.0343053060018307,Highly integrated
102635,oxford city,AL,city-small,2016-2017,0.0965483948829351,1.54477431812696,25.7784214337437,11.4651218923485,57.2773352643012,3.83779869659667,4143,Diverse,0.0063291058071327,Highly integrated
102700,phenix city,AL,suburban-large,2016-2017,0.583297766396358,0.654431640347133,57.703798548869,7.22720159339878,28.2686015080381,5.56266894295063,7029,Diverse,0.139359389215088,Somewhat integrated
102730,pickens county,AL,rural-distant,2016-2017,0.536604062859333,0.574932924492143,58.2215408202376,2.68302031429667,36.5657339977003,1.41816788041395,2609,Diverse,0.35476919473735,Not integrated
102880,russell county,AL,rural-distant,2016-2017,0.411885848779053,1.58870255957635,38.5701676963813,5.29567519858782,49.4263018534863,4.70726684318917,3399,Diverse,0.0594166767187093,Highly integrated
103030,shelby county,AL,suburban-large,2016-2017,0.207900207900208,2.02455202455202,15.3697653697654,7.27155727155727,72.963072963073,2.16315216315216,20202,Diverse,0.0805210812371277,Somewhat integrated
103150,talladega city,AL,rural-fringe,2016-2017,0.0505050505050505,0.95959595959596,66.1616161616162,3.08080808080808,28.2828282828283,1.46464646464646,1980,Diverse,0.125525738459442,Somewhat integrated
103180,talladega county,AL,rural-distant,2016-2017,0.131354262445816,0.407198213582031,32.6940759227637,2.15420990411139,63.4309733350847,1.18218836201235,7613,Diverse,0.159107391076292,Somewhat integrated
103360,tuscaloosa city,AL,city-small,2016-2017,0.250144314027323,2.07812199345776,69.905714835482,4.09851837598615,22.8785837983452,0.788916682701559,10394,Diverse,0.446878606629608,Not integrated
103390,tuscaloosa county,AL,suburban-midsize,2016-2017,0.21248774109186,0.83905415713196,28.7130870654898,7.41527732374414,61.3490247357524,1.4710689767898,18354,Diverse,0.243950987080706,Not integrated
103480,washington county,AL,rural-remote,2016-2017,9.6728307254623,0.248933143669986,25.4623044096728,0.782361308677098,62.7667140825036,1.06685633001422,2812,Diverse,0.144313617572305,Somewhat integrated
200180,anchorage school district,AK,city-large,2016-2017,8.04914404444645,17.6950178418176,5.84263065179096,11.809476489453,41.1965310086273,15.4071999638647,44278,Diverse,0.044878240638029,Highly integrated
200210,juneau borough school district,AK,town-remote,2016-2017,17.7984429065744,9.4939446366782,1.23269896193772,5.81747404844291,50.0216262975779,15.6358131487889,4624,Diverse,0.0084236506651157,Highly integrated
200480,kodiak island borough school district,AK,town-remote,2016-2017,19.1340206185567,26.020618556701,0.577319587628866,9.07216494845361,39.5463917525773,5.64948453608247,2425,Diverse,0.0059004815512463,Highly integrated
200600,fairbanks north star borough school district,AK,city-small,2016-2017,8.22734499205087,3.64069952305246,4.75357710651828,8.89507154213037,58.8155802861685,15.6677265500795,12580,Diverse,0.0541683008831455,Highly integrated
400295,kingman unified school district,AZ,town-remote,2016-2017,2.55957634598411,1.64754339511621,0.956163577522801,22.182994998529,68.6084142394822,4.0453074433657,6798,Diverse,0.006455934719349,Highly integrated
400680,amphitheater unified district,AZ,suburban-large,2016-2017,1.9715461832888,3.4953419513252,4.98302881490576,42.3629667075901,44.7967068679136,2.39040947497653,13847,Diverse,0.176607629820175,Somewhat integrated
400960,avondale elementary district,AZ,suburban-midsize,2016-2017,0.680637650008956,2.70463908293032,11.5887515672577,62.7440444205624,21.2788823213326,1.00304495790793,5583,Diverse,0.105596476590542,Somewhat integrated
401380,buckeye elementary district,AZ,town-fringe,2016-2017,1.02354145342886,1.10542476970317,7.81985670419652,59.9385875127943,27.3080859774821,2.80450358239509,4885,Diverse,0.0144121321060311,Highly integrated
401460,sierra vista unified district,AZ,city-small,2016-2017,0.716479017400205,3.51415899010577,6.26066189013988,36.3527806209485,45.7523029682702,7.40361651313545,5862,Diverse,0.0115171182509643,Highly integrated
401500,bullhead city school district,AZ,rural-fringe,2016-2017,1.11711711711712,0.792792792792793,2.09009009009009,42.990990990991,49.8018018018018,3.20720720720721,2775,Diverse,0.0870683847592355,Somewhat integrated
401710,casa grande elementary district,AZ,suburban-small,2016-2017,6.16695551704217,0.909878682842288,2.97515886770653,63.2293471981514,22.3859041016753,4.33275563258232,6924,Diverse,0.0131989093577151,Highly integrated
401760,catalina foothills unified district,AZ,suburban-large,2016-2017,0.238048006347947,7.0025788534021,1.86470938305892,25.0148780003967,60.9402896250744,4.9394961317199,5041,Diverse,0.0064006974267834,Highly integrated
401870,chandler unified district #80,AZ,suburban-large,2016-2017,1.4574637363651,8.38502871111316,5.47932569241058,27.0022830523718,54.4542582385905,3.22164056914881,43363,Diverse,0.199494692069399,Somewhat integrated
402690,dysart unified district,AZ,suburban-large,2016-2017,0.864062309845442,2.33661920408908,7.37901099346882,37.8767595635066,46.9271023487891,4.616445580301,24651,Diverse,0.112799839513342,Somewhat integrated
402860,flagstaff unified district,AZ,city-small,2016-2017,24.4069201284575,1.09810421630581,0.745882109188853,27.5458406712939,43.085051279395,3.11820159535896,9653,Diverse,0.0602484872957234,Highly integrated
402920,florence unified school district,AZ,rural-fringe,2016-2017,2.06682373099165,2.06682373099165,8.44934675519383,36.3782394517027,48.7791818376526,2.25958449346755,9338,Diverse,0.0111807461207308,Highly integrated
403010,flowing wells unified district,AZ,suburban-large,2016-2017,1.45735876214466,1.54731917956099,2.30298668585822,51.007556675063,42.5152932709608,1.16948542641238,5558,Diverse,0.206179395414671,Somewhat integrated
403400,gilbert unified district,AZ,suburban-large,2016-2017,1.00931677018634,4.23567977915804,3.33563377041638,21.9893029675638,65.9535311709225,3.47653554175293,34776,Diverse,0.0349143840303125,Highly integrated
403420,glendale elementary district,AZ,suburban-large,2016-2017,1.71387190215642,2.67943353717412,9.71194077888638,71.7412294818153,11.9327325394271,2.22079176054071,12428,Diverse,0.062235786773618,Highly integrated
403450,glendale union high school district,AZ,city-large,2016-2017,2.44501940491591,3.59637774902975,8.61578266494178,56.254851228978,27.6326002587322,1.45536869340233,15460,Diverse,0.119537037123571,Somewhat integrated
403780,higley unified school district,AZ,suburban-large,2016-2017,0.735719599900802,4.40605108704638,4.30685293874514,19.9718938579813,65.9254360585269,4.65404645779945,12097,Diverse,0.0055070506795006,Highly integrated
403870,humboldt unified district,AZ,suburban-small,2016-2017,1.4230498945889,0.966268446943078,0.878425860857344,32.5017568517217,60.6816584680253,3.54884047786367,5692,Diverse,0.0272986132652971,Highly integrated
403990,j o combs unified school district,AZ,suburban-large,2016-2017,1.47544593701828,1.71768332966307,3.5674961462233,31.9092710856639,58.0268663290024,3.30323717242898,4541,Diverse,0.00265500064963,Highly integrated
404230,kyrene elementary district,AZ,city-large,2016-2017,3.64089472404571,6.15730610260151,10.3756382202772,27.9844395818138,45.3683442742524,6.47337709700948,16452,Diverse,0.0698125755879236,Highly integrated
404280,lake havasu unified district,AZ,city-small,2016-2017,1.3172338090011,1.82949140139041,1.24405415294548,23.7833882180754,71.185510428101,0.640321990486645,5466,Diverse,0.0339431023552394,Highly integrated
404290,laveen elementary district,AZ,city-large,2016-2017,2.52960959204562,3.43617487936833,22.13773943559,57.8300921187308,10.6155870741336,3.4507969001316,6839,Diverse,0.0396979444248438,Highly integrated
404320,liberty elementary district,AZ,rural-fringe,2016-2017,0.940899735371949,1.55836518670979,3.44016465745369,48.7503675389591,42.6051161423111,2.70508673919435,3401,Diverse,0.119379462373851,Somewhat integrated
